iter	Logloss
0	0.6659292577
1	0.6454699363
2	0.6162235058
3	0.5963787057
4	0.5776663274
5	0.562232046
6	0.5471869799
7	0.531516795
8	0.5196437799
9	0.5073127748
10	0.4977435568
11	0.4832868711
12	0.4712738244
13	0.4630670499
14	0.4541304254
15	0.4477387694
16	0.4398228769
17	0.4345715643
18	0.4276644206
19	0.4232388202
20	0.4187391101
21	0.4089345436
22	0.4013761244
23	0.3966191607
24	0.3913028129
25	0.3863124953
26	0.3804795591
27	0.3752027168
28	0.3707210018
29	0.3661790449
30	0.3634045712
31	0.3598377039
32	0.35710376
33	0.352297835
34	0.3497234405
35	0.3467807455
36	0.3449214529
37	0.3416500804
38	0.3390205915
39	0.3348710303
40	0.3306624675
41	0.3291998625
42	0.3271791915
43	0.3239861831
44	0.3200784664
45	0.3186248636
46	0.3157216157
47	0.3129873601
48	0.30694228
49	0.3048768612
50	0.30257436
51	0.3005661514
52	0.299156442
53	0.2962675474
54	0.2935750508
55	0.2889878857
56	0.2876336039
57	0.2850773765
58	0.28337107
59	0.2813825782
60	0.2787785493
61	0.2750364823
62	0.2732549119
63	0.2704634202
64	0.2665634885
65	0.2651870857
66	0.2638105679
67	0.261321043
68	0.2564475523
69	0.25472084
70	0.2529524383
71	0.2515385532
72	0.2499103254
73	0.2466558316
74	0.2445024683
75	0.2431992357
76	0.2420131766
77	0.2392493145
78	0.2372941226
79	0.2356277246
80	0.2341183771
81	0.2329256862
82	0.2310173217
83	0.2289125012
84	0.2276511734
85	0.2252257161
86	0.2235127705
87	0.2220538509
88	0.2211990965
89	0.218956399
90	0.2179575719
91	0.2161059896
92	0.214229278
93	0.2117272959
94	0.210219462
95	0.2086287004
96	0.2065589482
97	0.2046976184
98	0.2039529288
99	0.202840619
100	0.20197168
101	0.2002293101
102	0.1987743232
103	0.1978736296
104	0.1973398564
105	0.1955833914
106	0.1938553356
107	0.192606825
108	0.1913389085
109	0.1906144241
110	0.1894231856
111	0.1880169116
112	0.1867916619
113	0.1840984823
114	0.1827457537
115	0.1818291474
116	0.1806450135
117	0.179188436
118	0.1773957537
119	0.1762271345
120	0.1740664602
121	0.1717824358
122	0.1697102641
123	0.1692305064
124	0.1676572233
125	0.1662808842
126	0.1656195494
127	0.1639870783
128	0.1634597042
129	0.161894237
130	0.1611602667
131	0.159934724
132	0.1583806462
133	0.1568311356
134	0.1557665007
135	0.1550953563
136	0.1541371242
137	0.1525991894
138	0.1519668407
139	0.1512684555
140	0.1505097205
141	0.1500288059
142	0.1497960365
143	0.1485599048
144	0.1471442264
145	0.1453098834
146	0.1435499972
147	0.1424533697
148	0.1408597273
149	0.140103745
150	0.1384356387
151	0.1373222688
152	0.1364904889
153	0.1355348355
154	0.1340145652
155	0.132593972
156	0.1309695315
157	0.1296239586
158	0.1286395226
159	0.1279601045
160	0.1274709969
161	0.1261625156
162	0.1253147279
163	0.1236885223
164	0.1225162605
165	0.1208405923
166	0.1202936483
167	0.1196588986
168	0.1184350595
169	0.1169191669
170	0.1164228048
171	0.1153281059
172	0.1144132073
173	0.1136282527
174	0.1127870116
175	0.1118530271
176	0.1111851412
177	0.1105014391
178	0.1094441409
179	0.1088143084
180	0.1079925266
181	0.1069941061
182	0.1062726417
183	0.1055037241
184	0.1045350212
185	0.1042145499
186	0.1033242516
187	0.1028938207
188	0.1025972841
189	0.1017620539
190	0.1006447359
191	0.0999999321
192	0.09901587886
193	0.09795395057
194	0.09689493605
195	0.09656039135
196	0.09553667297
197	0.09475658969
198	0.0939018766
199	0.09298225625
200	0.09216480026
201	0.09136101231
202	0.09062927597
203	0.08992976358
204	0.08933645684
205	0.08823508511
206	0.08784313677
207	0.08703485839
208	0.08630983966
209	0.08559636558
210	0.08492089913
211	0.08431472095
212	0.08409767909
213	0.08380432461
214	0.08327604378
215	0.08267283336
216	0.08194485017
217	0.08122819092
218	0.08086188619
219	0.08033727042
220	0.07912961421
221	0.07846270045
222	0.07815313444
223	0.07770370691
224	0.07714462005
225	0.07681416179
226	0.07650126378
227	0.07624807637
228	0.07568444569
229	0.07469332895
230	0.07371840176
231	0.07313378295
232	0.07287169891
233	0.07255370328
234	0.07196764745
235	0.07115759002
236	0.07077060947
237	0.07019880302
238	0.06996412658
239	0.06952975851
240	0.06904225639
241	0.06849641281
242	0.06798391177
243	0.06755794424
244	0.06704751055
245	0.06639400085
246	0.06621510226
247	0.06586729569
248	0.06563755699
249	0.06529104992
250	0.06499168026
251	0.06443457439
252	0.06403199168
253	0.06366160523
254	0.06330646354
255	0.06296466724
256	0.06237967833
257	0.06219848929
258	0.06153765984
259	0.06095000796
260	0.06057636821
261	0.06018645576
262	0.05975373295
263	0.05953190048
264	0.05905599492
265	0.05878733866
266	0.05803282692
267	0.05780939282
268	0.05748402526
269	0.05715574169
270	0.05695903047
271	0.05628956364
272	0.05582830612
273	0.05524099062
274	0.05493962175
275	0.0547003634
276	0.0542111307
277	0.05386199252
278	0.05345334396
279	0.05310322548
280	0.05267096875
281	0.05237804492
282	0.05199482184
283	0.05168156689
284	0.05142342291
285	0.0512061288
286	0.05081521972
287	0.05060918738
288	0.05036637054
289	0.05002069321
290	0.04963318821
291	0.04934692664
292	0.04897061454
293	0.04874222699
294	0.04847247769
295	0.04813737093
296	0.04791201808
297	0.04767083923
298	0.04743221733
299	0.04718286235
300	0.04680399268
301	0.04656837386
302	0.04628504435
303	0.04607102122
304	0.04590471342
305	0.04569327824
306	0.04553219415
307	0.04510268255
308	0.04489008662
309	0.04457631329
310	0.04445225411
311	0.04426506869
312	0.04402089249
313	0.04379873259
314	0.04351067251
315	0.04332678535
316	0.04309319673
317	0.0429246903
318	0.04257668345
319	0.04244912064
320	0.04214698447
321	0.04203167379
322	0.04180007948
323	0.04142764099
324	0.04129450625
325	0.04109158127
326	0.04065968098
327	0.04032028049
